,Index,Instance,DominantPairs,SmallerBetterPairs,CapacityFraction,CapFracDistanceFromOneHalf,CorrelationCoefficient,ApproximationGap,CoeffVarWeights,CoeffVarProfits,CoeffVarEffics,PossibleItemFixProportion,SubsetSumLikeness,ModBalasZemelMeasure,MaxCardinality,MinCardinality,CardinalityGap,FirstWeight,FirstProfit,PolyfitLinear,PolyfitQuadratic,PolyfitCubic,BeforeAfterSplitRatio,EvenOddLikeness,GreedyUnusedCapacity,ReducedDominantPairs,ReducedSmallerBetterPairs,ReducedCapacityFraction,ReducedCapFracDistanceFromOneHalf,ReducedCorrelationCoefficient,ReducedApproximationGap,ReducedCoeffVarWeights,ReducedCoeffVarProfits,ReducedCoeffVarEffics,ReducedSubsetLikeness,ReducedModBalasZemelMeasure,ReducedMaxCardinality,ReducedMinCardinality,ReducedCardinalityGap,ReducedFirstWeight,ReducedFirstProfit,ReducedPolyfitLinear,ReducedPolyfitQuadratic,ReducedPolyfitCubic,ReducedBeforeAfterSplitRatio,ReducedGreedyUnusedCapacity,algo_Expknap,algo_Minknap,algo_Combo,Source,Label,X
0,0,0_knapPI_11_1000_1000_1_new,0.527555556,0.689761762,0.000247704,0.999504592,0.032669121,0.727272727,0.32643256,0.483294156,0.204297597,0.976,0.008,0.000126171,0.002,0,0.002,0.068041237,0,0.001067271,0.001088729,0.001355838,0,0.08,0.076030816,0.75,0.786231884,0.069258809,0.861482382,0.164491312,0.727272727,0.080805131,0.228112036,0.048833107,0.333333333,0.002645677,0.083333333,0.041666667,0.041666667,0.680412371,0.3,0.027057392,0,0,0,0.009856551,3.91E-06,0.000194516,0.000195639,Pisinger_hard,0,0
1,1,0_knapPI_11_100_1000_1_new,0.552323232,0.705858586,0.002491967,0.995016067,-0.060430402,0.363636364,0.298896885,0.461155969,0.187870442,0.96,0.01,0.000135211,0.02,0,0.02,0.068041237,0,0.003651833,0.005002218,0.028850392,0.003247947,0.1,0.076030816,0.333333333,0.333333333,0.121212121,0.757575758,0.986851567,0.363636364,0.233908049,0.392148356,0.054026738,0.25,0.002786154,0.25,0,0.25,0.5,0.167647059,0.973876016,0.973853203,0,0,0.00462988,7.39E-07,0.000186622,0.000192559,Pisinger_hard,0,0
2,2,0_knapPI_11_2000_1000_1_new,0.540033017,0.701130565,0.000123491,0.999753019,0.004406512,0.727272727,0.326540446,0.483716159,0.196901848,0.9725,0.004,0.000126171,0.001,0,0.001,0.068041237,0,1.94E-05,0.001169552,0.001172261,0,0.04,0.076030816,0.449158249,0.70976431,0.028485757,0.943028486,0.442905191,0.727272727,0.111884556,0.225852855,0.046177549,0.145454545,0.002645677,0.036363636,0.018181818,0.018181818,0.680412371,0.3,0.196165008,0.056031536,0,0,0.009856551,5.76E-06,0.000196077,0.000202445,Pisinger_hard,0,0
3,3,0_knapPI_11_200_1000_1_new,0.571809045,0.726030151,0.001239279,0.997521443,-0.118049098,0.727272727,0.314197734,0.462632624,0.192895507,0.98,0.01,0.000126011,0.01,0,0.01,0.068041237,0,0.013935589,0.015242,0.018477983,0,0.1,0.076030816,0.833333333,0.833333333,0.431818182,0.136363636,0,0.727272727,0,0.265064574,0.056158647,0.5,0.002645677,0.5,0.25,0.25,1,0.3,0,0,0,0,0,8.84E-07,0.000190376,0.000188713,Pisinger_hard,0,0
4,4,0_knapPI_11_500_1000_1_new,0.532529058,0.691158317,0.00049821,0.999003579,-0.009133708,0.727272727,0.323977363,0.476838489,0.211585646,0.97,0.012,0.000126171,0.004,0,0.004,0.068041237,0,8.34E-05,0.000389724,0.000988252,0,0.12,0.076030816,0.742857143,0.79047619,0.11165524,0.77668952,0.057639042,0.727272727,0.074519816,0.210255661,0.045406434,0.4,0.002645677,0.133333333,0.066666667,0.066666667,0.680412371,0.3,0.003322259,0,0,0,0.009856551,1.49E-06,0.000190292,0.000191786,Pisinger_hard,0,0
5,5,0_knapPI_12_1000_1000_1_new,0.545187187,0.759105105,0.001264593,0.997470813,-0.004748048,0.556701031,0.32643256,0.354195956,0.159158076,0.928,0.001,0.000142527,0.009,0,0.009,0.068041237,0,2.25E-05,3.82E-05,0.000179802,0.002587828,0.01,0.085427197,0.303208138,0.667057903,0.098062342,0.803875316,0.633436763,0.556701031,0.174245853,0.259910021,0.05072332,0.013888889,0.002728354,0.125,0.055555556,0.069444444,0.5,0.160824742,0.401242132,0.401403488,0.378326065,0.045167235,0.011088384,0,0.000248667,0.000239823,Pisinger_hard,1,0
6,7,0_knapPI_12_20_1000_1_new,0.547368421,0.721052632,0.059484873,0.881030253,-0.183353676,0.581818182,0.260863445,0.334156285,0.118218809,0.6,0.05,0.000765083,0.15,0,0.15,0.136082474,0,0.03361857,0.038974033,0.04947996,0.039583424,0.5,0.197163018,0.25,0.535714286,0.236105477,0.527789047,0.552219446,0.581818182,0.239086564,0.278919195,0.069484535,0.125,0.00267362,0.375,0.125,0.25,0.25,0.107216495,0.304946316,0.495518033,0.574489336,0.147583618,0.060181077,4.99E-06,0.00019336,0.000199731,Pisinger_hard,0,0
7,8,0_knapPI_13_1000_1000_1_new,0.529023023,0.791471471,0.000729092,0.998541815,0.044135075,0.157894737,0.472225233,0.417485884,0.212183248,0.991,0.003,1.58E-05,0.013,0,0.013,0.019587629,0,0.001947905,0.002419007,0.004123931,0.003247947,0.03,0.019092867,0.361111111,0.555555556,0.276315789,0.447368421,0.957020298,0.157894737,0.228400502,0.237747703,0.018041643,0.333333333,0.004020703,0.444444444,0.111111111,0.333333333,0.5,0.4,0.91588785,0.868587439,0.888643109,0.045167235,0.002010372,3.44E-06,0.000192475,0.000199052,Pisinger_hard,0,0
8,9,0_knapPI_13_100_1000_1_new,0.487878788,0.766464646,0.007481775,0.98503645,0.041343315,0.452631579,0.470677056,0.416697072,0.271272909,0.84,0.01,0.000137073,0.09,0,0.09,0.019587629,0,0.00170927,0.001990874,0.018155237,0.025851953,0.1,0.079166848,0.341666667,0.491666667,0.130393996,0.739212008,0.698259657,0.452631579,0.284405162,0.419404705,0.098652882,0.0625,0.00265987,0.3125,0.0625,0.25,0.142857143,0.066666667,0.487566549,0.733034536,0.769591953,0.092773579,0.009361381,7.97E-07,0.000190243,0.000199249,Pisinger_hard,0,0
9,10,0_knapPI_13_200_1000_1_new,0.511809045,0.783718593,0.003809524,0.992380952,0.052690102,0.394736842,0.473995181,0.421424416,0.258650628,0.965,0.02,6.61E-05,0.055,0,0.055,0.019587629,0,0.002776247,0.005686773,0.022109851,0.011973753,0.2,0.079166848,0.380952381,0.476190476,0.923976608,0.847953216,0.910868305,0.438596491,0.230917665,0.29853654,0.022708076,0.571428571,0.003350599,1,0.857142857,0.142857143,0.5,0.333333333,0.82968107,0.472873597,0.573478841,0.397583618,0.008376093,8.92E-07,0.000196051,0.000193656,Pisinger_hard,0,0
10,11,0_knapPI_13_20_1000_1_new,0.510526316,0.810526316,0.042607429,0.914785142,-0.155647379,0.073099415,0.469809162,0.437219944,0.308403983,0.75,0.1,7.29E-05,0.25,0,0.25,0.021764032,0,0.024226107,0.038454827,0.088412345,0.067193095,1,0.009361381,0.1,0.5,0.280241935,0.439516129,0.949303333,0.164473684,0.272863605,0.271450532,0.019594667,0.4,0.0030315,0.6,0,0.6,0.25,0.25,0.901176818,0.909453617,0.97938266,0.102416382,0.008376093,5.51E-07,0.000191355,0.000192242,Pisinger_hard,0,0
11,12,0_knapPI_14_1000_1000_1_new,0.514018018,0.81984985,0.000604312,0.998791377,-0.041137895,0.35529595,0.337387909,0.248647723,0.507956336,0.965,0.001,3.58E-05,0.025,0,0.025,0.001002004,0,0.001692326,0.001789108,0.002093403,0.00732383,0.01,0.082299024,0.223529412,0.727731092,0.253213368,0.493573265,0.773566663,0.370894309,0.313557196,0.244317178,0.088513213,0.028571429,0.002856897,0.485714286,0.114285714,0.371428571,0.0625,0.178861789,0.598405382,0.599374306,0.600794219,0.352416382,0.082299024,6.93E-05,0.00026603,0.000226121,Pisinger_hard,0,0
12,13,0_knapPI_14_100_1000_1_new,0.544040404,0.827676768,0.00587483,0.98825034,-0.110576749,0.27131046,0.321536597,0.240079329,0.33694248,0.96,0.01,8.98E-05,0.07,0,0.07,0.007021063,0,0.012227217,0.018747669,0.019806344,0.02166941,0.1,0.208644814,0.166666667,0.5,0.297297297,0.405405405,0.831612783,0.293103448,0.198445839,0.199584896,0.026182265,0.25,0.004310276,0.5,0,0.5,0.5,0.453971119,0.69157982,0.747810088,1,0.147583618,0.03089725,6.63E-06,0.000198945,0.000191732,Pisinger_hard,0,0
13,14,0_knapPI_14_200_1000_1_new,0.523266332,0.81678392,0.002951274,0.994097452,-0.053607434,0.343666404,0.337454601,0.250513093,0.342440935,0.95,0.005,6.77E-05,0.06,0,0.06,0.003009027,0,0.002873757,0.003755219,0.00377939,0.017665723,0.05,0.161935736,0.2,0.911111111,0.491803279,0.016393443,0.890540353,0.365034264,0.347214805,0.23617651,0.090306448,0.1,0.002720879,0.7,0.2,0.5,0.037037037,0.189982729,0.79306212,0.80718371,0.812795229,0.647583618,0.161935736,1.17E-05,0.000203402,0.000201559,Pisinger_hard,0,0
14,15,0_knapPI_14_20_1000_1_new,0.557894737,0.836842105,0.026758897,0.946482206,-0.124569162,0.467502182,0.296678351,0.252604931,0.375174654,0.65,0.05,0.000550359,0.15,0,0.15,0.007042254,0,0.015517476,0.017076193,0.15077572,0.039583424,0.5,0.488661915,0.19047619,0.857142857,0.123760241,0.752479517,0.814209048,0.468286581,0.233495914,0.12790393,0.072473937,0.142857143,0.003274181,0.285714286,0,0.285714286,0.205689278,0.551174497,0.662936374,0.707816367,0.817878045,0.062832958,0.198125027,1.65E-06,0.000187295,0.000194409,Pisinger_hard,0,0
15,16,0_knapPI_15_1000_1000_1_new,0.512446446,0.754628629,0.000197326,0.999605348,-0.033291151,0.253617254,0.337387909,0.336996689,0.523600436,0.984,0.001,1.43E-05,0.014,0,0.014,0.001002004,0,0.001108301,0.001175727,0.001315078,0.002917219,0.01,0,0.158333333,0.55,0.391089109,0.217821782,0.895804752,0.253617254,0.31532143,0.326974301,0.064095952,0.0625,0.00254921,0.625,0.1875,0.4375,0.130434783,0.021021021,0.802466154,0.805255491,0.807663667,0.312832958,0,3.25E-06,0.000205843,0.000207686,Pisinger_hard,0,0
16,17,0_knapPI_15_100_1000_1_new,0.550909091,0.788282828,0.001918312,0.996163376,-0.139150018,0.600600601,0.321536597,0.323023031,0.341543261,0.92,0.01,0.000123761,0.04,0,0.04,0.007021063,0,0.019362727,0.028343061,0.030831143,0.010155379,0.1,0.284900065,0.285714286,0.75,0.221198157,0.557603687,0.646302814,0.634920635,0.377125346,0.231469849,0.14102721,0.125,0.002824173,0.5,0,0.5,0.060344828,0.320634921,0.417707327,0.480550355,0.632694652,0.312832958,0.284900065,2.85E-05,0.000189565,0.000196506,Pisinger_hard,0,0
17,18,0_knapPI_15_200_1000_1_new,0.521105528,0.756281407,0.000963681,0.998072637,-0.052278261,0.347472472,0.337454601,0.337890164,0.354894292,0.96,0.005,4.60E-05,0.035,0,0.035,0.003009027,0,0.002733017,0.00325874,0.003618674,0.008374643,0.05,0.101003077,0.178571429,0.642857143,0.317460317,0.365079365,0.912343657,0.361588542,0.367101322,0.312915448,0.051360931,0.125,0.003391609,0.625,0.125,0.5,0.047619048,0.021875,0.832370948,0.876206097,0.884258166,0.312832958,0.101003077,2.60E-06,0.000196763,0.000200062,Pisinger_hard,0,0
18,19,0_knapPI_15_20_1000_1_new,0.557894737,0.810526316,0.008737599,0.982524802,-0.089108637,0.481959754,0.296678351,0.306535048,0.374494582,0.95,0.05,0.000253792,0.1,0,0.1,0.007042254,0,0.007940349,0.012454871,0.157523499,0.017665723,0.5,0.266545156,0,0,0.946808511,0.893617021,0,0.946808511,0,0,0,0,0.999999968,1,0,1,1,1,1,1,0,0,0,1.59E-06,0.000191254,0.000199325,Pisinger_hard,0,0
19,20,0_knapPI_16_1000_1000_1_new,0.511731732,0.846560561,0.000828359,0.998343282,-0.022777272,0.198901417,0.337387909,0.202392132,0.52318765,0.984,0.001,1.80E-05,0.03,0,0.03,0.001002004,0,0.000518804,0.001147882,0.001347318,0.009082489,0.01,0.04449081,0.141666667,0.716666667,0.384615385,0.230769231,0.941205496,0.202412474,0.241297178,0.208131623,0.031854661,0.0625,0.002666037,0.5625,0.25,0.3125,0.083333333,0.165931156,0.885867785,0.913452236,0.915485263,0.411414467,0.04449081,3.67E-05,0.00023804,0.000225199,Pisinger_hard,0,0
20,21,0_knapPI_16_100_1000_1_new,0.55030303,0.851515152,0.008052913,0.983894173,-0.130720004,0.709879774,0.321536597,0.194722327,0.344727639,0.87,0.01,0.000227704,0.08,0,0.08,0.007021063,0,0.01708772,0.022410858,0.022582811,0.025851953,0.1,0.448494851,0.435897436,0.846153846,0.331936295,0.33612741,0.220680447,0.709879774,0.312130696,0.128916526,0.11515922,0.076923077,0.002838254,0.538461538,0.153846154,0.384615385,0.086734694,0.48048569,0.04869986,0.115354891,0.184994723,0.447431543,0.448494851,3.94E-06,0.000194458,0.00019322,Pisinger_hard,0,0
21,22,0_knapPI_16_200_1000_1_new,0.520703518,0.844673367,0.004045454,0.991909093,-0.03568065,0.460184382,0.337454601,0.203577328,0.326965978,0.93,0.005,0.000100277,0.065,0,0.065,0.003009027,0,0.001273109,0.00175457,0.001780587,0.02166941,0.05,0.231186567,0.340659341,0.89010989,0.370875995,0.258248009,0.6446753,0.466250081,0.285437125,0.18610818,0.091981844,0.071428571,0.002687736,0.571428571,0.214285714,0.357142857,0.025862069,0.165202109,0.415606242,0.615277211,0.70855639,0.5,0.231186567,7.45E-06,0.000194124,0.000203571,Pisinger_hard,0,0
22,23,0_knapPI_16_20_1000_1_new,0.557894737,0.878947368,0.036679712,0.926640575,-0.202882884,0.177210683,0.296678351,0.221296816,0.378961518,0.8,0.05,0.000185354,0.2,0,0.2,0.007042254,0,0.041161465,0.045192424,0.154806953,0.067193095,0.5,0.20004624,0.166666667,1,0.224368499,0.551263001,0.949127667,0.177364645,0.139039496,0.079196682,0.016013856,0.25,0.003342254,0.5,0,0.5,0.569711538,0.736750652,0.900843329,0.901137836,1,0.147583618,0.016548386,1.64E-06,0.000185131,0.000193531,Pisinger_hard,0,0
23,24,0_knapPI_1_1000_1000_1_new,0.498104104,0.741079079,0.000186032,0.999627936,0.00741705,0.103707415,0.326694203,0.337582853,0.635177121,0.996,0.001,7.72E-06,0.011,0,0.011,0.001,0,5.50E-05,0.001062221,0.001073072,0.002917219,0.01,0.019092867,0.166666667,0.666666667,0.568965517,0.137931034,0.985458973,0.142758621,0.24661922,0.222534772,0.012228005,0.25,0.005434107,0.75,0.25,0.5,0.428571429,0.475862069,0.971129388,0.997899988,1,0.5,0.019092867,6.91E-06,0.000193533,0.00019605,Pisigner_small_coff,0,0
24,25,0_knapPI_1_100_1000000_1_new,0.523232323,0.766464646,0.000303578,0.999392845,-0.049307284,0.334952786,0.336084895,0.344713686,0.41296616,0.98,0.01,2.89E-05,0.02,0,0.02,0.004316473,0,0.002431208,0.027235337,0.027833314,0.003247947,0.1,0.60840911,0,0,0.3665411,0.266917799,1,0.64691915,0.118524287,0.126506665,0.001689149,0.5,0.114609959,0.5,0,0.5,0.76492936,0.750711309,1,1,1,0,0.017515484,1.19E-06,0.000192241,0.000195972,Pisinger_large_coff,0,0
25,26,0_knapPI_1_2000_100000_1_new,0.495304652,0.755231116,0.000148427,0.999703146,0.012826083,0.265904313,0.333760733,0.325087423,0.653598358,0.9885,0.0005,1.49E-05,0.0125,0,0.0125,0.000400036,0,0.000164508,0.000238491,0.00083641,0.003413816,0.005,0.155958261,0.213438735,0.498023715,0.252424579,0.495150841,0.83931545,0.270313824,0.347366129,0.384582347,0.139768776,0.043478261,0.002553992,0.52173913,0.086956522,0.434782609,0.040203132,0.0378969,0.704450425,0.733063862,0.769708309,0.271189305,0.013260994,1.14E-05,0.000198494,0.000198917,Pisinger_large_coff,0,0
26,27,0_knapPI_1_200_10000_1_new,0.493065327,0.746281407,0.004898887,0.990202226,0.025797646,0.274291881,0.329304688,0.32341841,0.301219125,0.93,0.005,9.45E-05,0.07,0,0.07,0.007211538,0,0.000665519,0.001510665,0.001515295,0.019645852,0.05,0.827964736,0.120879121,0.714285714,0.345968011,0.308063979,0.923166452,0.275678174,0.300379906,0.278950943,0.028306146,0.071428571,0.003118857,0.571428571,0.214285714,0.357142857,0.05267008,0.06236733,0.852236298,0.866440026,0.867814939,0.397583618,0.119532968,4.76E-06,0.000193617,0.000190464,Pisigner_small_coff,0,0
27,28,0_knapPI_1_500_10000000_1_new,0.50101002,0.749002004,0.002450905,0.99509819,-0.003640958,0.125598972,0.343164868,0.343923374,0.737393412,0.97,0.002,2.64E-05,0.056,0,0.056,0.00038708,0,1.33E-05,0.002128644,0.003925843,0.016885553,0.02,0.964284138,0.057142857,0.561904762,0.515912964,0.031825928,0.976893688,0.140564304,0.33416927,0.335099317,0.035950252,0.066666667,0.002829786,0.733333333,0.266666667,0.466666667,0.124227246,0.060012781,0.954321277,0.959852253,0.96311266,0.647583618,0.190747606,4.54E-06,0.000189735,0.000191143,Pisinger_large_coff,0,0
28,29,0_knapPI_1_50_10000_1_new,0.528163265,0.804081633,0.019783677,0.960432647,-0.053745887,0.270791075,0.357355781,0.308334016,0.298074365,0.9,0.02,0.000143717,0.18,0,0.18,0.007211538,0,0.00288862,0.008111666,0.014160148,0.073558444,0.2,0.590716137,0,0.8,0.421411856,0.157176287,0.94114876,0.270791075,0.408758279,0.355346604,0.046465863,0.2,0.003327339,0.8,0.2,0.6,0.036511156,0.062053706,0.885760989,0.886006603,0.998353328,0.647583618,0.008230896,1.01E-06,0.000186635,0.000187862,Pisigner_small_coff,0,0
29,30,0_knapPI_2_1000_1000_1_new,0.51773974,0.757605606,0.000953908,0.998092185,-0.050350847,0.158242765,0.326694203,0.327280376,0.514337469,0.984,0.001,2.40E-05,0.027,0,0.027,0.001,0,0.002535208,0.002542569,0.002941224,0.00732383,0.01,0.04449081,0.091666667,0.516666667,0.536144578,0.072289157,0.94215321,0.168104048,0.272927597,0.277554719,0.03026318,0.0625,0.003246624,0.75,0.3125,0.4375,0.142857143,0.088607595,0.887652672,0.888507614,0.889196397,0.411414467,0.04449081,8.07E-06,0.000193604,0.000195913,Pisigner_small_coff,0,0
